site_id,closest_gage,gage_riv_dist_m
01_11_BR,11106550,10159.192044465231
01_AC_DS,11023000,10592.354525239429
01_AC_US,11023000,10592.354525239429
01_CENTR,11106550,10669.808156244526
01_FC_DS,11022480,8801.447461969236
01_FC_US,11022480,8801.447461969236
01_FV-DS,11023000,0
01_FV_US,11023000,451.41800353577855
01_RR_BR,11106550,10159.192044465231
01_RR_BR_CCWTMP,11106550,10363.361550872196
01T_MU_N,11106550,9974.188916725889
02_MV_Adj,11023000,3265.9867089920394
02_MV_Down,11023000,3321.970970137288
02_MV_Ups,11023000,2602.0420379169304
02_PCH,11106550,8956.246128981125
02_PCH_CCWTMP,11106550,9123.924509449545
03_CAMAR,11106550,0
03_CONEJ,11106550,2176.7725652853405
03_MV_01,11023000,3296.415250210093
03_MV_02,11023000,3195.2506424699336
03_MV_03,11023000,3098.967149191674
03_MV_04,11023000,3296.415250210093
03_MV_05,11023000,3296.415250210093
03_MV_06,11023000,3265.9867089920394
03_MV_07,11023000,3265.9867089920394
03_UNIV,11106550,0
03_UNIV_CCWTMP,11106550,246.57979315000853
03D_CAMR,11106550,3210.6034051100287
03I_CAMR,11106550,3210.6034051100287
04_PCH,11106550,8956.246128981125
04_WOOD,11106550,12516.285941323487
04_WOOD_CCWTMP,11106550,12516.285941323487
04D_LAS,11106550,8075.196570597555
04D_WOOD,11106550,12827.155466288299
04D_WOOD_CCWTMP,11106550,12827.155466288299
04OTH,11181390,40988.41633573669
05_ACB,11023000,11016.243853182723
05_ACC,11023000,10693.783700398779
05_CENTR,11106550,20199.485743212786
05_FC,11022480,4476.781845582554
05_FV,11023000,0
051CTC275,11172175,5291.950763252053
051CTC400,11172175,6181.186900519759
05T_HONDO,11106550,27092.120484600306
06_SOMIS,11106550,11095.720281604536
06_UPLAND,11106550,9329.207115469148
066GAC550,11172175,6722.753705084145
06OTH,11459500,9107.999414938457
06T_FC_BR,11106550,14267.328451552032
07_MADER,11105850,881.391715341902
07D_SIM_BUS,11105850,372.6140048123096
07D_SIMI,11105850,3105.644447833238
07T_DC_H,11105850,2969.0129117164242
1-325,11467600,31801.282953385115
1-326,11467600,31996.74939796367
1-327,11467600,32345.178816641273
1-328,11467600,32442.949908524493
1-329,11467600,32557.678157475704
1-330,11467600,33022.18291633174
1-331,11467600,33043.98817393259
1-332,11467600,32197.462600202805
1-333,11467600,33043.98817393259
1-334,11467600,33043.98817393259
1-335,11467600,33043.98817393259
1-338,11467600,33043.98817393259
10000,11118500,15962.790304378026
103CDCHHR,11532500,233.3130326024832
103ML0155,11532500,688.4491447322051
103SF0039,11532500,2862.681704754878
103SM6897,11532500,3335.4522442905654
103ST0551,11532500,10152.065343051838
103ST1680,11532500,2428.0967007968484
103WE0817,11532500,7244.32088954793
103WE1072,11532500,12581.584825325155
103WER026,11532500,11000.009162232773
105BG0886,11521500,4082.5809323110543
105CE0029,11517000,9408.143302391776
105CE0141,11516530,8145.716100533584
105CE0173,11517500,16817.21387777495
105CE0205,11517000,21817.734074490985
105CE0269,11517000,16356.643553438802
105CE0381,11516900,14791.960908799254
105CE0525,11517000,6109.317177852278
105CE0685,11517500,12322.234656076864
105CR0901,11523000,3129.7000807853065
105CR0908,11530500,10577.768479819966
105CR1004,11523000,8297.262937070476
105EI0066,11521500,7049.0807913430735
105FC1120,11489500,1070.3678859499214
105FC1297,11522500,13556.702373968597
105FCA002,11523000,2004.4187002556769
105FCA014,11530500,9303.518692625325
105FCA020,11523000,2004.4187002556769
105FCA034,11523000,9109.484367428367
105FCA056,11530500,9303.518692625325
105IN1545,11521500,1094.1891243122304
105IN2529,11521500,1973.3518251360213
105IN3286,11521500,4221.263555516905
105IN4395,11521500,7659.969158844807
105KL0330,11530500,3471.9861256953745
105KL2802,11523000,170.38010618577425
105KL2814,11523000,157.67521766253196
105KL6175,11520500,0
105KL9073,11516530,0
105KL9084,11516530,375.19688667848106
105KLAMKK,11530500,7989.6228645329375
105KLMHAT,11516530,275.1006628121247
105LG0421,11521500,3862.1740955899995
105MARDWx,11530500,8751.197484649474
105NC0497,11530500,16732.53133062842
105PIG154,11516530,7478.608915682149
105PS0087,11516530,8708.106074029398
105PS0092,11489500,4073.844120754984
105PS0107,11519500,24264.199126414325
105PS0188,11516900,15232.995679174903
105PS0193,11521500,761.0777845047519
105PS0267,11520500,11643.496165076393
105PS0295,11517500,3812.916768845262
105PS0380,11516530,10526.063811038053
105PS1148,11516530,12442.400458675093
105PS1404,11516530,5333.9848478884205
105PS2018,11516530,9024.046216150586
105PS2428,11516530,8402.657833197343
105SC2552,11519500,11145.129167277022
105SC3110,11519500,6046.098712714178
105SC3291,11519500,4374.222246026544
105SC3781,11519500,0
105SC5049,11519500,11538.982253243747
105SH1452,11517500,10379.86900463069
